goal,steps,branching_step,options,op1_ra,op2_ra,type
open a small business,"[decided to open a small business, 
research a business idea, 
find a place for business, 
do construction for building, 
find employees to run place, 
pick an opening day]",find a place for business,"find a location on the street
find a location online",[7],[5],silver
learn to make pot pies,"[decided to learn to make pot pies, 
find potpie tutorial online, 
gather materials together, 
turn on the oven, 
make the potpies, 
bake the potpies, 
take the pies out to cool, 
serve the potpies on a plate]",bake the potpies,"buy a new pot pie pan
buy a used pot pie pan","[5, 7]",[1],silver
get in shape,"[decided to get in shape, 
look up physical activity, 
make set plans for activity every week, 
do the activity every week, 
increase time of activity as the exercise gets easier, 
do the activity for six months]",make set plans for activity every week,"set up a weekly plan on your phone
set up a weekly plan with a fitness tracker",[10],[7],silver
learn the guitar,"[decided to learn the guitar, 
save up for a guitar, 
purchase a guitar, 
purchase learning material, 
load up some video tutorials at home, 
practice following along the tutorials and material]",purchase learning material,"buy learning material in a store
buy learning material online",[7],"[0, 5]",silver
know more about american history,"[decided to know more about american history, 
search the internet for a local library, 
find the library's hours, 
drive to the library, 
ask the librarian for help, 
sit down and read through books]",find the library's hours,"call the library
look online at the library's website",[7],[0],silver
go on a vacation in another country,"[decided to go on a vacation in another country, 
figure out which country to visit, 
research the country, 
talk with travel agent to get a package deal, 
update passport and vaccines, 
pack for the trip, 
arrive at airport and board plan, 
land and enjoy vacation]",figure out which country to visit,"watch reviews from youtubes
read a travel guide","[0, 2, 5]",[7],silver
go to a new restaurant for the first time,"[decided to go to a new restaurant for the first time, 
research new restaurants in the area, 
decide on one to go to, 
get prepared to leave, 
go to the car, 
drive to the restaurant]",decide on one to go to,"find a restaurant on yelp
ask friends for recommendations","[5, 10]","[0, 2, 6]",silver
learn how to sing,"[decided to learn how to sing, 
research vocal coaches, 
reach out to one, 
hire a vocal coach, 
meet with vocal coach for months, 
practice singing alone]",research vocal coaches,"call a local music school and ask them to recommend someone
search online for vocal coaches","[0, 2, 6]",[5],silver
go back in time,"[decided to go back in time, 
go to school for quantum mechanics, 
study time travel, 
create a time machine prototype, 
test the prototype, 
invent time travel]",go to school for quantum mechanics,"go to a class at a university
go to a class at a community college",[7],"[1, 9]",silver
see a new movie that was coming out,"[decided to see a new movie that was coming out, 
turn on phone, 
get a signal to phone via wifi, 
open browser app, 
search for local movie theaters, 
check movie times, 
purchase a ticket online, 
show up to showing]",check movie times,"use a movie ticketing app
call a local theatre","[0, 5]",[7],silver
make sure the party was a huge success,"[decided to make sure the party was a huge success, 
brainstorm party ideas, 
head to the market, 
purchase party favors and food/drinks, 
head home from the store, 
set up the party decorations, 
set up the food, 
invite guests in]",brainstorm party ideas,"ask your friends to help you with party ideas
visit a party ideas website","[6, 7]","[5, 10]",silver
play pro basketball,"[decided to play pro basketball, 
begin practicing basketball, 
train up endurance, 
work on basketball shots, 
gain recognition for skills, 
get contacted by an agent]",train up endurance,"run up and down a court
hire a personal trainer",[1],"[6, 7]",silver
make a good impression at the upcoming dance,"[decided to make a good impression at the upcoming dance, 
practice etiquette at home, 
take a shower, 
put on formal clothes, 
drive to dance, 
buy formal clothes, 
go back home, 
go to store]",buy formal clothes,"buy a new formal outfit
buy a used formal outfit","[5, 3, 6]",[1],silver
win a contest,"[decided to win a contest, 
look for contest to enter, 
enter multiple contests for better odds, 
send in entry forms, 
wait for results, 
keep repeating until win]",look for contest to enter,"visit a contest website
find the contest on facebook",[0],[5],silver
see a rhinoceros,"[decided to see a rhinoceros, 
find out hours zoo is open, 
travel to zoo during open-hours, 
purchase ticket  for entry, 
find out where rhinoceros are kept, 
walk to rhinoceros enclosure and look around]",travel to zoo during open-hours,"buy a ticket on your own
find a travel agency to book on your behalf",[7],"[0, 2]",silver
win the lottery,"[decided to win the lottery, 
go to the store, 
ask to buy a lottery ticket from clerk, 
pick numbers for the ticket, 
go home to wait for drawing, 
see if the numbers match]",ask to buy a lottery ticket from clerk,"go to the store and buy a ticket from the clerk
buy a ticket online and have it delivered to you",[7],"[0, 2, 5]",silver
invest in silver,"[decided to invest in silver, 
sign up for brokerage account, 
wait for brokerage account approval, 
deposit money to brokerage account, 
find etf that tracks price changes of silver, 
purchase shares of etf]",find etf that tracks price changes of silver,"seatch online for etf that invest in silver
ask a investment advisor for suggestions","[5, 10]","[6, 7]",silver
make a dress,"[decided to make a dress, 
gather the materials, 
gather the tools, 
cut up the materials, 
stitch the materials together, 
make any adjustments]",cut up the materials,"cut the fabric with scissors
cut the fabric with a sewing machine","[8, 9]",[7],silver
learn how to ballroom dance,"[decided to learn how to ballroom dance, 
search on line for a ballroom teacher, 
call and make appointment to meet teacher, 
arrange a schedule to take lessons, 
dress appropriately to take lessons, 
walk over to studio to take lessons, 
take ballroom lessons at studio]",dress appropriately to take lessons,"buy a new dance suit
borrow a dance suit from a friend",[10],"[1, 5, 7]",silver
check out a new book from the library,"[decided to check out a new book from the library, 
find libraries in area, 
drive to the library, 
get a library card, 
browse books in library, 
choose a book of interest]",get a library card,"go to the library
call a library information line to get a card",[7],"[0, 2]",silver
join the marines,"[decided to join the marines, 
volunteer to join the marines, 
attend a basic physical examination, 
wait to be selected, 
travel to a training camp, 
successfully pass basic training]",volunteer to join the marines,"talk to your recruiter
apply online","[6, 7]","[0, 2, 10]",silver
move out of their parent's houses,"[decided to move out of their parent's houses, 
find a job, 
save money for an apartment deposit, 
hire a moving company, 
pack up stuff, 
follow the movers to the new location]",hire a moving company,"hire a moving company from yelp
go to a moving service in your local community",[5],"[0, 7]",silver
try to skateboard,"[decided to try to skateboard, 
search out guide on skateboarding, 
purchase skateboard online, 
wait for skateboard to arrive, 
unpack skateboard package, 
take skateboard outside, 
stand on skateboard and push off]",purchase skateboard online,"buy a used skateboard
buy a new skateboard",[1],"[5, 7]",silver
buy new clothes,"[decided to buy new clothes, 
put on clothes, 
go out to car, 
start the car, 
drive to clothing shop, 
purchase some clothes]",drive to clothing shop,"call an uber
walk to the nearest clothing store","[0, 2, 5]","[1, 3]",silver
learn how to line dance,"[decided to learn how to line dance, 
learn to love country music, 
watch other dancers, 
sign up for a dance class, 
practice the steps, 
go to the dance class, 
learn how to line dance, 
listen to and watch the teacher]",practice the steps,"practice at home
find a dance studio and learn in a group","[8, 10]","[3, 4, 7]",silver
earn some cash over the summer,"[decided to earn some cash over the summer, 
type up flyers offering to do handy work, 
print the flyers, 
disperse the flyers around the neighborhood, 
when prompted go to homes and do odd jobs, 
place earnings in a savings account]",disperse the flyers around the neighborhood,"get a box of flyers and put it in front of community center
carry a flyer in your hand while you walk around the neighborhood","[0, 2]",[7],silver
get away for a quiet vacation,"[decided to get away for a quiet vacation, 
decide to go on a vacation, 
pick out a destination, 
buy a plane ticket online, 
book a hotel online, 
drive to airport, 
get on plane, 
fly to destination]",book a hotel online,"book a hotel on your own
book a hotel through an online travel agency","[5, 6]","[0, 2]",silver
bench press two hundred pounds,"[decided to bench press two hundred pounds, 
set a goal of bench pressing two hundred pounds, 
drive to sporting goods store, 
purchase weight bench and weight set, 
drive home from sporting goods store, 
set up weight bench in basement, 
work out with weights every other day for three months]",purchase weight bench and weight set,"buy them new
buy them used","[5, 7]",[1],silver
go to a live music venue,"[decided to go to a live music venue, 
go online and purchase tickets for the event, 
find appropriate clothing to wear, 
put on the clothes, 
leave the house, 
get into a car, 
drive to the event, 
attend the event]",find appropriate clothing to wear,"buy clothes at a store
wear the clothes you already have","[5, 3, 8]","[0, 1, 2]",silver
make pizza at home,"[decided to make pizza at home, 
go to the store, 
look for pizza ingredients, 
pay for the ingredients, 
drive back home, 
unpack ingredients onto counter]",look for pizza ingredients,"google pizza ingredients
ask your parents for their suggestions","[5, 10]","[0, 6]",silver
learn how to ride a horse,"[decided to learn how to ride a horse, 
search for a horse to ride, 
find instructor to teach, 
pay for lessons/horse rental, 
practice riding horse, 
get feedback from instructor]",find instructor to teach,"find a school nearby
find a teaching service online",[4],[5],silver
compete on a tv game show,"[decided to compete on a tv game show, 
think about skills required to appear on tv, 
narrow down options based on skill, 
choose a tv show to be on, 
submit an application to the show, 
get tickets to tv show, 
fly out to the tv shows set]",submit an application to the show,"fill out a form on their website
find a friend who is already on the show to submit your application on your behalf","[0, 10]",[7],silver
start the 21 day fix program,"[decided to start the 21 day fix program, 
figure out what needs to be fixed, 
review books online on how to fix the problem, 
purchase the necessary book, 
wait for delivery, 
open the books]",purchase the necessary book,"buy the book from a book store
buy a digital version of the book",[10],"[0, 1]",silver
bake some cupcakes,"[decided to bake some cupcakes, 
put on clothes, 
drive to the grocery store, 
purchase baking supplies, 
drive back home, 
unload the groceries into the kitchen]",purchase baking supplies,"buy baking supplies at a grocery store
buy baking supplies online and get them delivered to you","[7, 10]","[0, 5]",silver
live debt free,"[decided to live debt free, 
make a budget, 
account for every penny you're spending, daily, 
find a way to make extra money, 
cut back spending on unnecessary items, 
sell things that are unneeded or not useful, 
pay off loans every payday]",find a way to make extra money,"find a part-time job from linkedin
ask a friend or a family member for job suggestions","[5, 10]","[0, 7]",silver
audition for the school play,"[decided to audition for the school play, 
sign up for auditions, 
get script to practice, 
practice reading lines with friends, 
practice reading lines before bed, 
show up to auditions]",practice reading lines before bed,"read lines by yourself in the mirror (a.k.a. mirror mime)
read lines with a partner",[10],"[6, 7]",silver
make a banana strawberry smoothie,"[decided to make a banana strawberry smoothie, 
look up smoothie recipe, 
go to the store, 
buy smoothie ingredients, 
drive home from store, 
make smoothie with ingredients]",look up smoothie recipe,"ask your grandmother for her recipe
look up a smoothie recipe online","[0, 6, 7]","[5, 10]",silver
learn to paint,"[decided to learn to paint, 
go to art store, 
purchase art supplies, 
practice painting on free time, 
learn to paint, 
sign up for lessons, 
show up for lessons]",sign up for lessons,"take classes in a local community center
take lessons online","[4, 7]",[5],silver
find a part time job,"[decided to find a part time job, 
open a laptop, 
search for job forums, 
fill out applications, 
upload a resume, 
wait for callbacks, 
go to interview]",fill out applications,"go to a career center to fill out applications
go to the internet and find a job board to browse",[4],[5],silver
go to a party on saturday night,"[decided to go to a party on saturday night, 
get invited to a party, 
get dressed for party, 
get into the car, 
drive to the party, 
park the car, 
knock on the front door]",get dressed for party,"wear your party clothes
wear your pajamas","[3, 7]","[0, 8]",silver
go to the theme park,"[decided to go to the theme park, 
look up directions, 
leave the house, 
get in the car, 
drive to the theme park, 
find a parking spot, 
walk to the ticket booth, 
buy a ticket]",look up directions,"use the internet
get directions from a friend","[5, 7, 10]",[0],silver
impress a group of popular girls at school,"[decided to impress a group of popular girls at school, 
research popular girl interests, 
determine who popular girls are, 
find out where the popular girls hang out, 
travel to location popular girls are, 
impress popular girls with knowledge of interests]",travel to location popular girls are,"drive to location
travel by foot","[0, 2, 3]",[8],silver
learn how to skateboard,"[decided to learn how to skateboard, 
research how to skateboard online, 
watch tutorial videos, 
buy a skateboard, 
try to skateboard, 
practice skateboarding every day for 15 minutes]",research how to skateboard online,"use google to search for how to skateboard online
purchase a skateboarding dvd","[1, 5]",[7],silver
eat spicy sushi,"[decided to eat spicy sushi, 
drive to sushi restaurant, 
order some spicy sushi, 
wait for order to arrive, 
when order arrives grab chopsticks, 
use chopsticks to add some wasabi]",order some spicy sushi,"order it online
go to a local restaurant to order it","[0, 2, 5]",[7],silver
make chicken curry,"[decided to make chicken curry, 
go to the store, 
get some fresh chicken, 
find the spice aisle, 
go to the produce department, 
pay for all the food, 
drive back home, 
put the ingredients on the counter]",get some fresh chicken,"buy fresh chicken from a local butcher shop
buy fresh chicken online and have it delivered to you",[7],"[0, 5]",silver
learn to bake a cake,"[decided to learn to bake a cake, 
load up youtube on the computer, 
search for baking cakes, 
choose a popular video, 
read reviews and comments, 
hit the play button on selected video]",search for baking cakes,"search on the web
call a bakery","[0, 2, 5, 10]",[7],silver
learn to sew,"[decided to learn to sew, 
get sewing supplies, 
look up video on how to sew, 
watch video and memorize actions, 
follow along with video when sewing, 
practice sewing everyday]",get sewing supplies,"buy sewing supplies on amazon
buy sewing supplies from a local store","[0, 5]",[6],silver
make a fort,"[decided to make a fort, 
find a fort location, 
buy materials and supplies, 
put materials and supplies together, 
make a fort, 
brainstorm a fort construction, 
drive to the store]",buy materials and supplies,"buy the materials and supplies from a home improvement store
buy the materials and supplies from amazon",[7],"[0, 2]",silver
learn how to garden,"[decided to learn how to garden, 
purchase books on gardening, 
purchase gardening supplies, 
read the gardening books, 
select a spot for the garden, 
plant the first garden]",read the gardening books,"read a physical book
read a digital book",[8],[1],silver
meet a nice girl to date,"[decided to meet a nice girl to date, 
make a dating profile on a dating website or app, 
look at matches, 
send messages to acceptable matches, 
respond to messages, 
ask out the best match, 
go on a date with the match]",make a dating profile on a dating website or app,"make a profile on a dating website or app
use an online service to make your profile",[1],"[0, 6, 7]",silver
own a dog,"[decided to own a dog, 
search for pet stores, 
drive to the pet store, 
look at the different dogs, 
pick a dog, 
fill out necessary paperwork, 
shop for pet supplies, 
shop for pet food]",search for pet stores,"search online
ask friends and families for recommendations","[0, 2, 5]","[6, 7]",silver
learn to dance in time for prom,"[decided to learn to dance in time for prom, 
look up dance teachers online, 
contact a good dance teacher, 
meet a teacher at a scheduled time, 
start learning basic moves, 
go to a few more classes and learn more]",look up dance teachers online,"go to your local dance studio
go to dancestation.com","[0, 2, 4]",[5],silver
learn how to paint,"[decided to learn how to paint, 
sign up for a painting class, 
drive to the crafts store, 
browse painting supplies, 
pay for supplies, 
drive to painting class, 
go to painting class every day]",browse painting supplies,"go to a local office supply store
order painting supplies online",[6],"[0, 2, 5, 7]",silver
learn to ride a bike,"[decided to learn to ride a bike, 
research best bikes for beginners, 
drive to store, 
buy a bike, 
take the bike home, 
watch a tutorial video on how to ride a bike, 
go outside with bike, 
practice riding bike]",buy a bike,"buy a new bike
buy a used bike","[5, 7]",[1],silver
learn to play a new instrument,"[decided to learn to play a new instrument, 
go online to research new instruments, 
buy a new instrument, 
look instructors up online, 
contact an intstructor, 
go to instrument practice regularly]",contact an intstructor,"find a teacher at a local music store
find a teacher online","[0, 2]",[5],silver
hear some blues music,"[decided to hear some blues music, 
find a local blues venue online, 
find out when the blues venue has shows online, 
get dressed for the concert, 
travel to the blues venue, 
find a place to sit or stand to listen]",travel to the blues venue,"take a bus
call an uber",[1],"[0, 2, 6, 7, 10]",silver
build a garden last week,"[decided to build a garden last week, 
ask questions about gardening, 
drive to the gardening store, 
shop for different kinds of plants, 
shop for gardening supplies, 
drive the supplies back home, 
continuously set the new garden over time]",shop for different kinds of plants,"shop for plants at a garden center
shop for plants online and have it delivered to your door",[7],"[0, 2, 5]",silver
play with other girls in the school yard,"[decided to play with other girls in the school yard, 
go outside to the playground, 
walk over to the other girls, 
ask the girls to play, 
agree on the rules, 
start the game]",agree on the rules,"agree on the rules in person
agree on the rules over the phone",[7],[2],silver
find some friends to relax with,"[decided to find some friends to relax with, 
find a cellphone or computer, 
send out messages to friends, 
provide invite to friends who are not busy, 
see which friends respond, 
confirm details with friends]",provide invite to friends who are not busy,"post a public message in a social network
send private message to friends","[0, 2]",[7],silver
build a mall,"[decided to build a mall, 
create a blueprint, 
get the funding, 
put together the materials, 
put together the people, 
plan the operations, 
continuously build in the construction site]",create a blueprint,"create a paper and pencil design
build a virtual 3d model","[0, 2, 8, 9]","[4, 7]",silver
have blond hair,"[decided to have blond hair, 
locate a nearby hair stylist on the internet, 
call the office, 
schedule an appointment, 
drive to the stylist, 
have the stylist dye the hair blonde]",locate a nearby hair stylist on the internet,"google it
call the phone number for a hair salon","[0, 2, 5]","[6, 7]",silver
make an art project,"[decided to make an art project, 
figure out a theme, 
decide on needed materials, 
drive to the store, 
buy the materials, 
drive home with supplies]",figure out a theme,"work with a friend
work alone",[7],[10],silver
adopt a puppy,"[decided to adopt a puppy, 
research the right breed, 
go to shelter, 
browse the dogs for adoption, 
fill out adoption form, 
wait for approval]",go to shelter,"take a public transportation
ask a friend for a ride","[5, 10]","[1, 2, 6, 7]",silver
play with dolls,"[decided to play with dolls, 
drive to the doll store, 
select fun dolls to play with, 
purchase the dolls, 
take the dolls home, 
begin playing with dolls for hours of fun]",purchase the dolls,"buy the dolls from a toy store
buy the dolls from a wholesale shop",[5],[1],silver
expand their business scope,"[decided to expand their business scope, 
find a school that offers classes, 
research the credentials needed, 
enroll in classes, 
attended required classes, 
pass required classes, 
graduate with the needed degree]",research the credentials needed,"look up the information on the internet
ask a friend","[5, 10]","[0, 2]",silver
mow the lawn today,"[decided to mow the lawn today, 
get the lawnmower out of the garage, 
make sure mower has enough gas, 
check that all the parts are still working, 
start the mower, 
mow the lawn]",check that all the parts are still working,"check on your own
call a mechanic to check it for you",[1],"[0, 2, 7, 9]",silver
go on a trip to spain,"[decided to go on a trip to spain, 
buy the tickets, 
wait for the date, 
pack the clothes, 
drive to the airport, 
get on the plane]",buy the tickets,"buy them online
buy them in person","[0, 2]",[7],silver
buy a new video game that was very popular,"[decided to buy a new video game that was very popular, 
drive to work, 
work full shift, 
drive home from work, 
deposit work paycheck, 
turn on gaming console, 
purchase video game, 
wait for game to download]",purchase video game,"buy a new video game from a store
buy a used video game from an online store","[0, 2, 5, 7, 10]",[1],silver
have a pet cat,"[decided to have a pet cat, 
buy cat food, 
buy a litter box, 
go to the animal shelter, 
pick out a cat, 
drive the cat home]",pick out a cat,"choose a cat from a breeder
adopt a cat from a shelter","[5, 6, 7]","[1, 3]",silver
learn how to play the guitar,"[decided to learn how to play the guitar, 
buy a guitar, 
get guitar out, 
watch video lessons, 
press down strings, 
strum the strings, 
keep practicing cords]",watch video lessons,"watch video lessons on youtube
subscribe to a guitar lesson service and get lessons sent to you on a weekly basis","[1, 5]","[6, 7]",silver
replace a closet door,"[decided to replace a closet door, 
go to store, 
remove old door, 
install new door according to manual, 
replace a closet door, 
buy new door, 
go back home, 
gather tools needed]",buy new door,"buy the door from a hardware store
buy the door online",[7],"[0, 2, 5]",silver
go for a trip on an amtrak train,"[decided to go for a trip on an amtrak train, 
open a laptop, 
find amtrak website, 
buy the tickets, 
print out tickets, 
walk to train station, 
board the train]",buy the tickets,"buy the tickets from an amtrak agent
buy the tickets from an amtrak website",[7],"[0, 2]",silver
buy bread at the store,"[decided to buy bread at the store, 
drive to the store, 
walk in the store, 
find the bread section, 
compare the types of bread, 
pick a bread, 
walk to the register]",find the bread section,"look for the bread section on your own
look for the bread section by asking a store associate",[10],"[0, 2, 7]",silver
go to greece,"[decided to go to greece, 
look up airline tickets, 
order tickets online, 
pack up suitcases, 
drive to the airport, 
get on a plane]",order tickets online,"book tickets online
use a travel agent to book a ticket","[1, 5, 10]","[6, 7]",silver
open a new catering hall,"[decided to open a new catering hall, 
construct building plans, 
hire construction crew, 
wait for the building to be finished, 
furnish the watering hall with supplies, 
open hall to the public]",furnish the watering hall with supplies,"buy the supplies and furnish on your own
hire someone to furnish for you","[1, 10]","[0, 2]",silver
plant some flowers,"[decided to plant some flowers, 
get the seeds, 
get the gardening equipment, 
dig holes for the plants, 
place the pots inside, 
add the seeds and dirt to the pots, 
water the plants]",get the seeds,"buy the seeds in a store
buy the seeds online",[7],"[0, 2, 5]",silver
own a boat,"[decided to own a boat, 
accumulate resources to pay for the purchase of a boat, 
travel to a merchant who sells boats, 
make a selection of the type of boat to purchase, 
negotiate to establish a price for the selected boat, 
provide payment to the merchant to take ownership]",accumulate resources to pay for the purchase of a boat,"save up money to pay for the purchase of the boat in monthly instalments
buy a boat and pay in full",[1],"[0, 2, 9]",silver
eat some apples,"[decided to eat some apples, 
grab some apples, 
wash the hand, 
put the apple slices in mouth, 
eat some apples, 
run the apple under tap water, 
slice the apple into pieces]",grab some apples,"visit an apple orchard
buy some apples at the grocery store","[3, 7]","[0, 2, 5]",silver
write a new song,"[decided to write a new song, 
get the thesaurus, 
find a piece of paper, 
write down some lyrical ideas, 
outline an emotional theme, 
proofread all the words, 
write everything out on paper, 
find a working pen]",proofread all the words,"print out the lyrics and proofread them
ask a friend to proofread for you",[10],"[0, 2, 7, 8]",silver
spice up in their bedroom,"[decided to spice up in their bedroom, 
determine aspects of room to change, 
repaint room different color, 
remove old furniture from room, 
purchase new furniture for room, 
add furniture back into room, 
analyze likability of new room setup]",purchase new furniture for room,"buy new furniture from a store
buy online furniture at a wholesale price","[5, 7]","[0, 1, 2]",silver
produce a music album,"[decided to produce a music album, 
brainstorm ideas for songs, 
create a bunch of songs, 
practice singing songs, 
rent a recording studio, 
sing in the studio]",brainstorm ideas for songs,"write down ideas on a piece of paper
listen to music samples online and record your ideas using a microphone",[8],[7],silver
buy some ice cream,"[decided to buy some ice cream, 
find spare money, 
go to the store, 
look up options in menu, 
wait in the line, 
make an order]",find spare money,"find spare money in the couch cushions
ask your spouse to borrow money",[10],"[0, 2, 7]",silver
bake some chocolate chip cookies,"[decided to bake some chocolate chip cookies, 
get out the ingredients, 
mix the wet ingredients, 
mix the dry ingredients, 
mix both ingredients together, 
roll into balls, 
place on tray 2 inches apart, 
bake in an oven]",mix the dry ingredients,"purchase the ingredients at the supermarket
purchase the ingredients online",[7],"[0, 2, 5]",silver
make some tea,"[decided to make some tea, 
get out the tea bag and cup, 
get out a teakettle, 
fill the kettle with water, 
boil the water in the kettle, 
pour the boiling water into the cup, 
let the tea steep until desired strength, 
place the teabag in the cup]",get out a teakettle,"buy a new teakettle
buy a used teakettle","[5, 6, 7]",[1],silver
impress a girl at school,"[decided to impress a girl at school, 
look at the wardrobe, 
look up pickup lines, 
memorize the pickup lines, 
look in the mirror, 
put together a fancy outfit, 
walk to school, 
talk to the girl]",look up pickup lines,"look up pickup lines from online
ask friends for useful pickup lines",[10],"[0, 2, 6, 7]",silver
join the tennis team,"[decided to join the tennis team, 
find a good tennis court nearby, 
buy tennis gear from a sporting goods store, 
practice playing tennis, 
apply for the team, 
find someone to play tennis with, 
perform well at a tryout]",apply for the team,"apply online
apply via your school","[0, 2, 10]",[7],silver
start a business,"[decided to start a business, 
research how to run the business, 
come up with business idea, 
hire staff for business to run, 
acquire goods for business, 
open business for the public]",hire staff for business to run,"hire staff through a recruiting agency
hire staff yourself","[0, 2, 7]","[1, 10]",silver
get a rabbit for a pet,"[decided to get a rabbit for a pet, 
drive to the pet shop, 
look at the different rabbits, 
pick out a rabbit, 
shop for pet food, 
shop for pet supplies, 
wait in line, 
make the purchase]",shop for pet food,"go to the pet store
buy pet food online",[7],"[0, 2, 5]",silver
attend gym today,"[decided to attend gym today, 
search the internet for nearby gyms, 
compare gym prices, 
find one that has compatible hours, 
drive to the gym, 
walk up to the desk and get a membership]",compare gym prices,"compare gym prices online
go to a gym and compare prices there","[0, 2, 5]","[4, 7]",silver
play a video game,"[decided to play a video game, 
buy a video game, 
buy a video game console, 
hook the console up to the tv, 
put the game in the console, 
hit the play button]",buy a video game,"buy a new video game
buy a used video game","[5, 7]",[1],silver
make some bath soap last week,"[decided to make some bath soap last week, 
find a recipe for bath soap, 
buy the needed ingredients, 
prepare a workspace, 
mix ingredients together, 
pour ingredient mix into a soap mold, 
wait for soap to cool/become firm]",mix ingredients together,"mix ingredients by hand
mix ingredients by using a hand mixer",[8],[7],silver
start a blog,"[decided to start a blog, 
look for a website host, 
look up different blog topics, 
write a blog post, 
publish the blog post on the website, 
look at the different plans, 
set up a website]",publish the blog post on the website,"send the blog post to a website
publish the blog post on your own website","[5, 3, 7]","[2, 6, 10]",silver
learn how to bake a cake,"[decided to learn how to bake a cake, 
search for baking classes in town, 
sign up for a baking class, 
wait for day of baking class, 
walk to baking class in town, 
follow along in baking class]",search for baking classes in town,"go to local community center and ask for baking classes in town
search for baking classes online","[4, 7]","[0, 2, 5]",silver
drop some weight,"[decided to drop some weight, 
decide on a new goal weight, 
research the best diets, 
make a fitness plan, 
make a meal plan, 
follow diet plan, 
drop some weight, 
follow fitness plan]",research the best diets,"buy a diet book
research diet plans on the internet",[7],"[1, 5]",silver
play baseball very badly,"[decided to play baseball very badly, 
get dressed in old clothes, 
get in the car, 
drive to a pickup baseball game, 
ask to play, 
take off eyeglasses]",ask to play,"tell a stranger that you would like to play
ask a person you know who is good at baseball to play with you",[5],"[6, 7]",silver
do stand-up at an open mic night,"[decided to do stand-up at an open mic night, 
learn a stand up routine, 
find an open mic night, 
drive to the club, 
sign up for the open mic, 
go on stage]",sign up for the open mic,"go to the open mic site
call up a friend and ask them to put you on the open mic",[10],"[0, 2, 7]",silver
buy a denim jacket,"[decided to buy a denim jacket, 
decide to buy a denim jacket, 
get in car, 
drive to store, 
shop for denim jackets, 
pick out the best denim jacket, 
take denim jacket up to counter, 
pay for denim jacket]",decide to buy a denim jacket,"buy a new denim jacket
buy a used denim jacket","[5, 7]",[1],silver
play varsity football,"[decided to play varsity football, 
start working out, 
learn how to play football, 
start practicing with friends, 
find the coach of the team, 
attend a try out]",find the coach of the team,"find the coach by asking people for his or her contact information
find the coach by searching for the school's sports page",[7],"[0, 2, 5, 10]",silver
go to class because an oral report was due,"[decided to go to class because an oral report was due, 
figure out the subject of the report, 
do research for the report, 
write an outline, 
write cue cards, 
practice what to say, 
go to class, 
give the report]",practice what to say,"practice what to say by talking about it at home
practice what to say on the phone with a friend",[10],[7],silver
build a house,"[decided to build a house, 
obtain building permit, 
gather up construction crew, 
transport building materials to site, 
lay the  foundation, 
build the frame, 
insert plumbing and electricity wiring, 
put up dry wall]",transport building materials to site,"call a moving company
move the materials yourself","[0, 2, 7]","[1, 10]",silver
learn how to make pottery,"[decided to learn how to make pottery, 
find a pottery class that is near, 
sign up to the class and pay, 
find the time and place for the class, 
attend the class, 
make a piece of pottery for final exam, 
fire the the piece of pottery for final exam]",attend the class,"try to take the class at a local community center
try to take the class online","[6, 7]","[0, 2, 5]",silver
start teaching piano lessons,"[decided to start teaching piano lessons, 
read articles on the piano, 
buy a piano, 
practice piano frequently, 
become an expert on the piano, 
create an ad, 
find a student]",buy a piano,"buy a new piano
buy a used piano","[5, 7]",[1],silver
prepare for the storm that was coming,"[decided to prepare for the storm that was coming, 
watch the weather channel, 
go to store, 
buy supplies for storm, 
go back home, 
secure house for storm]",watch the weather channel,"watch the weather channel on tv
watch the weather channel on youtube",[7],"[5, 8]",silver
wait for a bus,"[decided to wait for a bus, 
think of a destination to go to, 
lookup the bus needed to get there online, 
map out where the bus stop is, 
walk to the bus stop, 
buy a bus pass, 
collect the bus pass, 
make sure the bus is on time]",buy a bus pass,"buy a bus pass from a ticket selling machine
download a ticket selling app and buy a bus pass from your phone","[7, 8]","[0, 2]",silver
start a record label,"[decided to start a record label, 
decide on a record label name, 
look online at the county's web site, 
register as a business, 
get a bank loan, 
find a good band to sign]",register as a business,"register your business online
register your business in person in your local government office","[0, 2, 10]",[7],silver
try a new diet,"[decided to try a new diet, 
research diet plans, 
choose diet plan to follow, 
drive to store, 
purchase ingredients that follow new diet, 
drive home from store, 
prepare weekly meals that follow diet plan, 
follow new diet through week]",purchase ingredients that follow new diet,"go to the grocery store and buy the ingredients
buy the ingredients online and have them delivered to your door",[7],"[0, 2, 5]",silver
go to the school dance,"[decided to go to the school dance, 
find someone to invite to the dance, 
invite the date, 
go shopping to buy something to wear, 
learn how to dance, 
pick up date]",go shopping to buy something to wear,"go to a local store
buy a dress online",[7],"[0, 2, 5]",silver
learn to dance ballet,"[decided to learn to dance ballet, 
look for a ballet school online, 
buy ballet shoes and outfits online, 
travel to ballet school, 
practice ballet moves, 
combine ballet moves to practice full dance routine]",travel to ballet school,"take public transport to ballet school
ask for a ride from a friend or a family member","[5, 10]","[1, 2, 6]",silver
take a vacation this year,"[decided to take a vacation this year, 
save up money for vacation, 
research vacation spots, 
choose a vacation spot, 
choose a time to take off work, 
request time off of work]",choose a time to take off work,"take a vacation on your company's time
take a vacation on your own time",[7],"[3, 6, 10]",silver
